video_id,frame,interval
1,7080,0
1,7110,30
1,7140,30
1,7170,30
1,7200,30
1,7230,30
1,7260,30
1,7290,30
1,7320,30
1,7350,30
1,7380,30
1,10320,2940
1,10350,30
1,10380,30
1,10410,30
1,10440,30
1,10470,30
1,10500,30
1,12780,2280
1,12810,30
1,12840,30
1,12870,30
1,12900,30
1,12930,30
1,12960,30
1,14601,1641
1,14631,30
1,14661,30
1,14691,30
1,14721,30
1,14751,30
1,15420,669
1,15450,30
1,15480,30
1,15510,30
1,15540,30
1,15570,30
1,15600,30
1,15630,30
1,15660,30
1,15690,30
1,15720,30
1,15750,30
1,15780,30
1,15810,30
1,15840,30
1,15870,30
1,15900,30
1,15960,60
1,16020,60
1,16080,60
1,16200,120
1,16260,60
1,16320,60
1,16380,60
1,16440,60
1,16500,60
1,16560,60
1,16620,60
1,19260,2640
1,19290,30
1,19320,30
1,19350,30
1,19380,30
1,19410,30
1,19980,570
1,20010,30
1,20040,30
1,20070,30
1,20100,30
1,20130,30
1,20160,30
1,20190,30
1,20220,30
1,20250,30
1,20280,30
1,20310,30
1,20340,30
1,20370,30
1,20400,30
1,20430,30
1,20910,480
1,20940,30
1,20970,30
1,21000,30
1,21030,30
1,21060,30
1,22800,1740
1,23340,540
1,23400,60
1,23460,60
1,23520,60
1,23580,60
1,23640,60
1,23700,60
1,23760,60
1,23820,60
1,23880,60
1,23940,60
1,24000,60
1,24060,60
1,24120,60
1,24180,60
1,24240,60
1,24300,60
1,24360,60
1,24420,60
1,24480,60
1,24540,60
1,24600,60
1,24660,60
1,24720,60
1,25020,300
1,25050,30
1,25080,30
1,25110,30
1,25140,30
1,25170,30
1,25200,30
1,25230,30
1,25260,30
1,25290,30
1,25320,30
1,25350,30
1,25380,30
1,25410,30
1,25440,30
1,32160,6720
1,32190,30
1,32220,30
1,32250,30
1,32280,30
1,32310,30
1,32340,30
1,32370,30
1,32400,30
1,32430,30
1,33180,750
1,33240,60
1,33300,60
1,33360,60
1,33420,60
1,33480,60
1,33540,60
1,33600,60
1,33660,60
1,33720,60
1,33780,60
1,33840,60
1,33900,60
1,33960,60
1,34020,60
1,34080,60
1,34140,60
1,34200,60
1,34260,60
1,34320,60
1,34380,60
1,34440,60
1,34500,60
1,34560,60
1,34620,60
1,34680,60
1,34740,60
1,34800,60
1,34860,60
1,34920,60
1,37590,2670
1,37620,30
1,37650,30
1,37680,30
1,37710,30
1,37740,30
1,37770,30
1,37800,30
1,37830,30
1,37860,30
1,37890,30
1,37920,30
1,37950,30
1,37980,30
1,38010,30
1,38070,60
1,38100,30
1,38130,30
1,38160,30
1,38190,30
1,38220,30
1,38250,30
1,38280,30
1,38310,30
1,38340,30
1,38370,30
1,38400,30
1,38430,30
1,38460,30
1,38490,30
1,38520,30
1,38550,30
1,38580,30
1,38640,60
1,38700,60
1,38760,60
1,38820,60
1,38880,60
1,38940,60
1,39000,60
1,39060,60
1,39120,60
1,39180,60
1,39240,60
1,39300,60
1,39360,60
1,40590,1230
1,40620,30
1,40650,30
1,40680,30
1,40710,30
1,40740,30
1,40770,30
1,40800,30
1,40830,30
1,40860,30
1,40890,30
1,40920,30
1,40950,30
1,40980,30
1,41010,30
1,41040,30
1,42540,1500
1,42570,30
1,42600,30
1,42630,30
1,42660,30
1,42690,30
1,44280,1590
1,44340,60
1,44400,60
1,44460,60
1,44520,60
1,44580,60
1,44640,60
1,44700,60
1,44760,60
1,44790,30
1,44820,30
1,44850,30
1,44880,30
1,44910,30
1,44940,30
1,44970,30
1,45000,30
1,45030,30
1,45060,30
1,45090,30
1,45120,30
1,45150,30
1,45180,30
1,45210,30
1,45240,30
1,45270,30
1,45300,30
1,45330,30
1,45360,30
1,45420,60
1,45480,60
1,55770,10290
1,55800,30
1,55830,30
1,55860,30
1,55890,30
1,55920,30
1,55950,30
1,55980,30
1,56010,30
1,56040,30
1,56070,30
1,56100,30
1,56130,30
1,56880,750
1,56910,30
1,56940,30
1,56970,30
1,57000,30
1,57030,30
1,57060,30
1,57090,30
1,57120,30
1,57150,30
1,57180,30
1,57210,30
1,57240,30
1,57270,30
1,57300,30
1,57330,30
1,58410,1080
1,58440,30
1,58470,30
1,58500,30
1,58530,30
1,58560,30
1,58590,30
1,58620,30
1,58650,30
1,58680,30
1,58710,30
1,58740,30
1,58770,30
1,58800,30
1,58830,30
1,62730,3900
1,62760,30
1,62790,30
1,62820,30
1,62850,30
1,62880,30
1,62910,30
1,62940,30
1,63060,120
1,63090,30
1,63120,30
1,63360,240
1,63390,30
1,63420,30
1,63450,30
1,63480,30
1,63510,30
1,63540,30
1,67740,4200
1,67800,60
1,68040,240
1,70380,2340
1,70410,30
1,70440,30
1,70470,30
1,70500,30
1,70530,30
1,70560,30
1,70590,30
1,70620,30
1,70650,30
1,70680,30
1,70710,30
1,70740,30
1,70770,30
1,70830,60
1,70860,30
1,70890,30
1,70920,30
1,70950,30
1,70980,30
1,71010,30
1,71040,30
1,71070,30
1,71100,30
1,71130,30
1,71160,30
1,71190,30
1,71220,30
1,71250,30
1,71280,30
1,71310,30
1,71340,30
1,71370,30
1,71400,30
1,71430,30
1,71460,30
1,71490,30
1,71520,30
1,71550,30
1,71580,30
1,71610,30
1,71640,30
1,71670,30
1,71700,30
1,71730,30
1,71760,30
1,71790,30
1,71820,30
1,71850,30
1,71880,30
1,71910,30
1,71940,30
1,71970,30
1,72000,30
1,72030,30
1,72510,480
1,72570,60
1,72630,60
1,72690,60
1,72750,60
1,72810,60
1,72870,60
1,72930,60
1,72990,60
1,73050,60
1,73110,60
1,73170,60
1,73230,60
1,73290,60
1,73350,60
1,73710,360
1,73770,60
1,73800,30
1,73860,60
1,73920,60
1,77130,3210
1,77160,30
1,77190,30
1,77220,30
1,77250,30
1,77280,30
1,77310,30
1,77340,30
1,77370,30
1,77400,30
1,77430,30
1,77460,30
1,77610,150
1,77640,30
1,77670,30
1,77700,30
1,77730,30
1,77760,30
1,77790,30
1,77820,30
1,78000,180
1,78030,30
1,78060,30
1,78090,30
1,78120,30
1,78150,30
1,78180,30
1,78210,30
1,78240,30
1,78270,30
1,78300,30
1,79980,1680
1,80010,30
1,80040,30
1,80070,30
1,80100,30
1,80130,30
1,80160,30
1,80190,30
1,80220,30
1,80250,30
1,80280,30
1,82590,2310
1,82620,30
1,82650,30
1,82680,30
1,82710,30
1,82740,30
1,82770,30
1,82800,30
1,82830,30
1,82860,30
1,82890,30
1,82920,30
1,82950,30
1,82980,30
1,83010,30
1,83040,30
1,83070,30
1,83160,90
1,85290,2130
1,85320,30
1,85350,30
1,85380,30
1,85410,30
1,85440,30
1,85470,30
1,85500,30
1,85740,240
1,85770,30
1,85800,30
1,85830,30
1,85860,30
1,85890,30
1,85920,30
1,85950,30
1,85980,30
1,86010,30
1,86040,30
1,86070,30
1,86100,30
1,86130,30
1,86160,30
1,86190,30
1,86220,30
1,86250,30
1,86280,30
1,86310,30
1,86340,30
1,86370,30
1,86400,30
1,86460,60
1,86520,60
1,86580,60
1,86640,60
1,86700,60
1,86760,60
1,86820,60
1,86880,60
1,86940,60
1,87000,60
1,87060,60
1,87120,60
1,87180,60
1,87600,420
1,87660,60
1,87720,60
1,87780,60
1,87840,60
1,87900,60
1,87930,30
1,87960,30
1,87990,30
1,88020,30
1,88050,30
1,88080,30
1,88110,30
2,300,0
2,330,30
2,360,30
2,390,30
2,420,30
2,450,30
2,2010,1560
2,2040,30
2,2070,30
2,2100,30
2,2130,30
2,2160,30
2,2190,30
2,2220,30
2,2250,30
2,2280,30
2,2310,30
2,2370,60
2,2430,60
2,2460,30
2,2490,30
2,2520,30
2,2550,30
2,2580,30
2,2610,30
2,2640,30
2,2670,30
2,2700,30
2,2730,30
2,2760,30
2,2790,30
2,2820,30
2,2850,30
2,2880,30
2,2940,60
2,3000,60
2,3060,60
2,3120,60
2,3180,60
2,3240,60
2,3300,60
2,3310,10
2,3340,30
2,3370,30
2,3400,30
2,3430,30
2,3460,30
2,3490,30
2,3780,290
2,3840,60
2,3871,31
2,3900,29
2,3931,31
2,3960,29
2,3991,31
2,4020,29
2,4051,31
2,4080,29
2,5580,1500
2,5610,30
2,5640,30
2,5670,30
2,5700,30
2,5730,30
2,5760,30
2,5790,30
2,5820,30
2,5850,30
2,5880,30
2,5910,30
2,5940,30
2,10260,4320
2,10290,30
2,10320,30
2,10350,30
2,10380,30
2,10410,30
2,10440,30
2,10470,30
2,10500,30
2,10530,30
2,10560,30
2,10590,30
2,10620,30
2,10650,30
2,10680,30
2,10710,30
2,10740,30
2,10770,30
2,10800,30
2,10830,30
2,10860,30
2,10890,30
2,10920,30
2,10950,30
2,10980,30
2,11010,30
2,11040,30
2,11070,30
2,11100,30
2,11130,30
2,11160,30
2,11190,30
2,11220,30
2,11250,30
2,11280,30
2,11310,30
2,11340,30
2,11370,30
2,11400,30
2,11430,30
2,11460,30
2,11490,30
2,11520,30
2,11550,30
2,11580,30
2,11610,30
2,11640,30
2,12120,480
2,12150,30
2,12180,30
2,12210,30
2,12240,30
2,12270,30
2,12300,30
2,12330,30
2,12360,30
2,12480,120
2,12540,60
2,12600,60
2,12660,60
2,12720,60
2,12780,60
2,12840,60
2,12900,60
2,12960,60
2,12990,30
2,13020,30
2,13050,30
2,13080,30
2,13110,30
2,13140,30
2,13170,30
2,13200,30
2,13230,30
2,13260,30
2,13290,30
2,13320,30
2,13350,30
2,13380,30
2,13410,30
2,13440,30
2,13470,30
2,13500,30
2,13530,30
2,13590,60
2,13650,60
2,13710,60
2,13770,60
2,14310,540
2,14340,30
2,14370,30
2,14400,30
2,14430,30
2,14460,30
2,14490,30
2,14520,30
2,14550,30
2,14580,30
2,14610,30
2,14640,30
2,14670,30
2,14700,30
2,14730,30
2,14760,30
2,15000,240
2,15030,30
2,15060,30
2,15090,30
2,15120,30
2,15150,30
2,15180,30
2,15210,30
2,15240,30
2,15270,30
2,15300,30
2,15330,30
2,15360,30
2,15390,30
2,15420,30
2,15450,30
2,15480,30
2,15510,30
2,15540,30
2,16050,510
2,16080,30
2,16110,30
2,16140,30
2,16170,30
2,16200,30
2,19620,3420
2,19680,60
2,19740,60
2,19800,60
2,19860,60
2,19920,60
2,19980,60
2,20040,60
2,20100,60
2,20160,60
2,20220,60
2,20280,60
2,20340,60
2,20700,360
2,20730,30
2,20760,30
2,20790,30
2,20820,30
2,20850,30
2,20880,30
2,20910,30
2,20940,30
2,20970,30
2,21000,30
2,21030,30
2,21060,30
2,21090,30
2,21120,30
2,21150,30
2,21180,30
2,21210,30
2,21240,30
2,21270,30
2,21300,30
2,21330,30
2,21360,30
2,21390,30
2,21420,30
2,21450,30
2,21480,30
2,21510,30
2,24150,2640
2,24180,30
2,24210,30
2,24240,30
2,24270,30
2,24300,30
2,24330,30
2,24360,30
2,24390,30
2,24420,30
2,24450,30
2,24480,30
2,24510,30
2,24720,210
2,24750,30
2,24780,30
2,24810,30
2,25050,240
2,25080,30
2,25110,30
2,25140,30
2,25170,30
2,25200,30
2,25230,30
2,25260,30
2,25290,30
2,25320,30
2,25350,30
2,25380,30
2,26910,1530
2,26940,30
2,26970,30
2,27000,30
2,27030,30
2,27180,150
2,27240,60
2,27300,60
2,27360,60
2,27420,60
2,27480,60
2,27540,60
2,27600,60
2,27660,60
2,27720,60
2,27780,60
2,27840,60
2,27900,60
2,27930,30
2,27960,30
2,27990,30
2,28020,30
2,28050,30
2,28080,30
